no,category,color,도로명전체주소,brand,상세영업상태명,소재지전체주소,영업상태명,openDate,closeDate,latitude,longitude
72,cafe,purple,"인천광역시 연수구 하모니로 136 (송도동, 레인보우빌딩 지상1층)",스타벅스인천송도DT,영업,인천광역시 연수구 송도동 8-17번지 레인보우빌딩 지상1층 ,운영중,20160622,,37.3788938,126.6388452
73,cafe,purple,"인천광역시 연수구 신송로 164 (송도동, 아데니움플라자 102호)",위치스틱 송도점,영업,인천광역시 연수구 송도동 20-18번지 아데니움플라자 102호 ,운영중,20160713,,37.3954874,126.6521599
74,cafe,purple,"인천광역시 연수구 센트럴로 123, 1층 (송도동, 송도컨벤시아내)",커피101스트릿,영업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아내 ,운영중,20160912,,37.3881259,126.6460025
75,cafe,purple,"인천광역시 연수구 센트럴로 123, 1층 (송도동, 송도컨벤시아)",커피101스트릿,영업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 ,운영중,20161103,,37.3881259,126.6460025
76,cafe,purple,"인천광역시 연수구 송도바이오대로 300, 1층 (송도동, 삼성바이오로직스 생산시설 커뮤니티센터)",커피앤(Coffe&),영업,인천광역시 연수구 송도동 201-2번지 1층 삼성바이오로직스 생산시설 커뮤니티센터 ,운영중,20170303,,37.3672187,126.657991
77,cafe,purple,"인천광역시 연수구 해돋이로 118, 103호 (송도동, 마린프라자)",리트웨이,영업,인천광역시 연수구 송도동 3-31번지 ,운영중,20170308,,37.3922988,126.6495649
78,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-1, 1층 105a호 (송도동, 송도트리플스트리트 A동)",빌리엔젤(BILLY ANGEL),영업,인천광역시 연수구 송도동 170-1번지 송도트리플스트리트 A동 105a호,운영중,20170323,,37.3797524,126.6610888
79,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-1, 지상1층 106호 (송도동, 송도트리플스트리트 A동)",지유가오카 브레드(JIYUGAOKA BREAD) 인천송도점,영업,인천광역시 연수구 송도동 170-1번지 송도트리플스트리트 A동 지상1층 106호 ,운영중,20170421,,37.3797524,126.6610888
80,cafe,purple,"인천광역시 연수구 센트럴로 123 (송도동, 송도컨벤시아 전시장 지상1층 일부)",미스터블랙,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 전시장 지상1층 일부 ,폐업,20170329,20170411,37.3881259,126.6460025
81,cafe,purple,"인천광역시 연수구 센트럴로 123, 1층 (송도동, 송도컨벤시아)",카페큐브,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 1층 ,폐업,20170316,20170320,37.3881259,126.6460025
82,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-3, 지하2층 215-1,215-2호 (송도동, 송도트리플스트리트 C동)",리리(ReRi),영업,"인천광역시 연수구 송도동 176-1번지 송도트리플스트리트 C동, 지하2층 215-1호",운영중,20170407,,37.3797524,126.6610888
83,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-4, 지상1층 D118호 (송도동, 송도트리플스트리트 D동)",스무디킹 송도트리플스트리트점,영업,인천광역시 연수구 송도동 176-5번지 송도트리플스트리트 D동 118호 ,운영중,20170410,,37.3787776,126.6627003
84,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-4, 116호 (송도동, 송도트리플스트리트D동)",더빈(The Bean),영업,인천광역시 연수구 송도동 176-5번지 송도트리플스트리트D동 116호,운영중,20170410,,37.3787776,126.6627003
85,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-1, A동 지하1층 102호 (송도동, 송도트리플스트리트)",트리플스트리트 챔피언,영업,인천광역시 연수구 송도동 170-1번지 송도트리플스트리트 지하1층 A동 102호,운영중,20170419,,37.3797524,126.6610888
86,cafe,purple,"인천광역시 연수구 센트럴로 123, 1층 (송도동, 송도컨벤시아 전시장내)",카페큐,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 전시장내 지상1층 ,폐업,20170328,20170403,37.3881259,126.6460025
87,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-4, D동 지하1층 B123호 (송도동, 송도트리플스트리트)",퓨로쥬스 송도트리플스트리트점,영업,인천광역시 연수구 송도동 176-5번지 송도 트리플스트리트 지하1층 D동 B123호,운영중,20170425,,37.3787776,126.6627003
88,cafe,purple,"인천광역시 연수구 컨벤시아대로274번길 15 (송도동, 송도더샵마스터뷰 23-1BL 상가 1호)",베이지가든,폐업,인천광역시 연수구 송도동 112번지 송도더샵마스터뷰 23-1BL 상가 1호 ,폐업,20151223,20160713,37.3813301,126.6330297
89,cafe,purple,"인천광역시 연수구 첨단대로 80, A동 지상1층 105호 (송도동, 아이에프이제트입주기업근로자기숙사)",컵오브커피 라이크홈점,영업,인천광역시 연수구 송도동 207-3번지 아이에프이제트입주기업근로자기숙사 A동 105호,운영중,20170601,,37.3671515,126.6538259
90,cafe,purple,"인천광역시 연수구 컨벤시아대로 165 (송도동, NEAT TOWER 지상5층 일부)",카페 줄리아노,영업,인천광역시 연수구 송도동 6-10번지 NEAT TOWER 지상5층 일부 ,운영중,20170601,,37.392921,126.646044
91,cafe,purple,"인천광역시 연수구 컨벤시아대로 70, 302동 지상1층 104호 (송도동, 인천송도힐스테이트)",코티지 Cottage,폐업,인천광역시 연수구 송도동 21-59번지 인천송도힐스테이트 302동 104호,폐업,20170526,20170607,37.396527,126.6498481
92,cafe,purple,"인천광역시 연수구 해돋이로 107, D동 지상1층 상가4호 (송도동, 송도더샵퍼스트월드)",삼분만,영업,인천광역시 연수구 송도동 4-1번지 송도더샵퍼스트월드 D동 상가4호,운영중,20170526,,37.3910848,126.6480396
94,cafe,purple,"인천광역시 연수구 해돋이로120번길 16, 지상1층 108호 (송도동, 송도풍림아이원아파트상가)",아띠커피(ATTI COFFEE),영업,인천광역시 연수구 송도동 3-10번지 송도풍림아이원아파트 상가동 108호 ,운영중,20150821,,37.3933302,126.6519879
95,cafe,purple,"인천광역시 연수구 센트럴로 160 (송도동, 송도센트럴파크 푸르지오 판매시설동 116호)",빌리엔젤(BILLY ANGEL) 송도신도시점,영업,인천광역시 연수구 송도동 23-5번지 송도센트럴파크 푸르지오 판매시설동 116호 ,운영중,20150721,,37.3943277,126.640779
96,cafe,purple,"인천광역시 연수구 테크노파크로 113 (송도동, 프리페이스빌딩 201호)",라리 송도센트럴점,영업,인천광역시 연수구 송도동 8-10번지 프리페이스빌딩 201호 ,운영중,20150831,,37.387223,126.6438262
97,cafe,purple,"인천광역시 연수구 송도국제대로 165 (송도동, 지상2층 홈플러스 매장내)",커피베이 홈플러스 송도점,영업,인천광역시 연수구 송도동 168-3번지 지상2층 홈플러스 매장내 ,운영중,20151014,,37.3803688,126.6558474
98,cafe,purple,"인천광역시 연수구 컨벤시아대로42번길 61 (송도동, 송도더샵그린애비뉴 817동 108호)",롤리폴리,폐업,인천광역시 연수구 송도동 16-7번지 송도더샵그린애비뉴 817동 108호 ,폐업,20151012,20170314,37.4021128,126.6455857
